,ge,tc,tl,ln,dn
365,365,0.02,0.06899999999999999,99.0,99.0
366,366,0.017,0.062,99.0,99.0
367,367,0.016,0.05599999999999999,99.0,99.0
368,368,0.019,0.046,99.0,99.0
369,369,0.019000000000000003,0.04499999999999999,99.0,99.0
370,370,0.021,0.05700000000000001,99.0,99.0
371,371,0.018000000000000002,0.062,99.0,99.0
372,372,0.022000000000000002,0.057999999999999996,99.0,99.0
373,373,0.022000000000000002,0.055,99.0,99.0
374,374,0.023000000000000003,0.048,99.0,99.0
375,375,0.024000000000000004,0.057,99.0,99.0
376,376,0.023000000000000003,0.036000000000000004,99.0,99.0
377,377,0.023000000000000003,0.031000000000000007,99.0,99.0
378,378,0.024000000000000004,0.014000000000000002,99.0,99.0
379,379,0.029000000000000005,0.012000000000000002,99.0,99.0
380,380,0.032,0.015,99.0,99.0
381,381,0.033,0.009000000000000001,99.0,99.0
382,382,0.03900000000000001,0.012000000000000002,99.0,99.0
383,383,0.03900000000000001,0.012000000000000002,99.0,99.0
384,384,0.040999999999999995,0.006000000000000001,99.0,99.0
385,385,0.045,0.009000000000000001,99.0,99.0
386,386,0.031,0.01,99.0,99.0
387,387,0.03,0.015,99.0,99.0
388,388,0.025000000000000005,0.012000000000000002,99.0,99.0
389,389,0.027000000000000003,0.006000000000000001,99.0,99.0
390,390,0.030000000000000006,0.002,99.0,99.0
391,391,0.034,0.0030000000000000005,99.0,99.0
392,392,0.030000000000000006,0.005,99.0,99.0
393,393,0.032,0.004,99.0,99.0
394,394,0.03900000000000001,0.006000000000000001,99.0,99.0
395,395,0.04299999999999999,0.006000000000000001,99.0,99.0
396,396,0.040999999999999995,0.004,99.0,99.0
397,397,0.040999999999999995,0.007000000000000001,99.0,99.0
398,398,0.043,0.009000000000000001,99.0,99.0
399,399,0.04699999999999999,0.011000000000000001,99.0,99.0
400,400,0.036000000000000004,0.008,99.0,99.0
401,401,0.033,0.008,99.0,99.0
402,402,0.034,0.006000000000000001,99.0,99.0
403,403,0.036000000000000004,0.007000000000000001,99.0,99.0
404,404,0.037000000000000005,0.007000000000000001,99.0,99.0
405,405,0.041999999999999996,0.005,99.0,99.0
406,406,0.045999999999999985,0.006000000000000001,99.0,99.0
407,407,0.048999999999999995,0.004,99.0,99.0
408,408,0.044,0.004,99.0,99.0
409,409,0.03900000000000001,0.001,99.0,99.0
410,410,0.037000000000000005,0.004,99.0,99.0
411,411,0.039,0.006000000000000001,99.0,99.0
412,412,0.03900000000000001,0.009,99.0,99.0
413,413,0.033,0.011000000000000001,99.0,99.0
414,414,0.031,0.009000000000000001,99.0,99.0
415,415,0.035,0.009000000000000001,99.0,99.0
416,416,0.028000000000000004,0.008,99.0,99.0
417,417,0.038000000000000006,0.005,99.0,99.0
418,418,0.038000000000000006,0.009,99.0,99.0
419,419,0.038,0.012000000000000002,99.0,99.0
420,420,0.040999999999999995,0.009000000000000001,99.0,99.0
421,421,0.053999999999999986,0.006999999999999999,99.0,99.0
422,422,0.051999999999999984,0.006,99.0,99.0
423,423,0.04999999999999999,0.008,99.0,99.0
424,424,0.049,0.009000000000000001,99.0,99.0
425,425,0.049,0.011000000000000001,99.0,99.0
426,426,0.05299999999999999,0.007000000000000001,99.0,99.0
427,427,0.046,0.0030000000000000005,99.0,99.0
428,428,0.043,0.004,99.0,99.0
429,429,0.040999999999999995,0.001,99.0,99.0
430,430,0.037000000000000005,0.004,99.0,99.0
431,431,0.035,0.0030000000000000005,99.0,99.0
432,432,0.028000000000000004,0.004,99.0,99.0
433,433,0.030000000000000006,0.002,99.0,99.0
434,434,0.022000000000000002,0.001,99.0,99.0
435,435,0.016,0.002,99.0,99.0
436,436,0.014000000000000004,0.005,99.0,99.0
437,437,0.018000000000000002,0.007000000000000001,99.0,99.0
438,438,0.016,0.007000000000000001,99.0,99.0
439,439,0.019000000000000003,0.01,99.0,99.0
440,440,0.016,0.011000000000000001,99.0,99.0
441,441,0.017,0.016,99.0,99.0
442,442,0.017,0.015,99.0,99.0
