,tr,ge,tc,tl,tf,ln
92,1,41,[0.7 0.1 0.8],[1.  0.5 0.1],[0.4 0.8 0. ],[0 0 0]
93,1,42,[0.7 0.1 0.8],[1.  0.5 0.1],[0.4 0.8 0. ],[0 0 0]
94,1,43,[0.7 0.1 0.8],[1.  0.5 0.1],[0.4 0.8 0. ],[0 0 0]
95,1,44,[0.7 0.1 0.8],[1.  0.5 0.1],[0.4 0.8 0. ],[0 0 0]
96,1,45,[0.7 0.1 0.8],[1.  0.5 0.1],[0.4 0.8 0. ],[0 0 0]
97,1,46,[0.7 0.1 0.8],[1.  0.5 0.1],[0.4 0.8 0. ],[0 0 0]
98,1,47,[0.7 0.1 0.8],[1.  0.5 0.1],[0.4 0.8 0. ],[0 0 0]
99,1,48,[0.7 0.1 0.8],[1.  0.5 0.1],[0.4 0.8 0. ],[0 0 0]
100,1,49,[0.7 0.1 0.8],[1.  0.5 0.1],[0.4 0.8 0. ],[0 0 0]
101,1,50,[0.7 0.1 0.8],[1.  0.5 0.1],[0.4 0.8 0. ],[0 0 0]
