,ge,tc,tl,tf,ln
259,259,0.589,0.007,0.10300000000000001,87.0
260,260,0.592,0.007,0.10300000000000001,87.0
261,261,0.597,0.009000000000000001,0.10600000000000001,89.0
262,262,0.596,0.009000000000000001,0.109,84.0
263,263,0.592,0.008,0.111,85.0
264,264,0.599,0.009000000000000001,0.109,83.0
265,265,0.6,0.01,0.10800000000000001,83.0
266,266,0.599,0.009000000000000001,0.10700000000000001,81.0
267,267,0.6,0.009000000000000001,0.10800000000000001,82.0
268,268,0.597,0.009000000000000001,0.10500000000000001,83.0
269,269,0.601,0.009000000000000001,0.10200000000000001,81.0
270,270,0.601,0.009000000000000001,0.10200000000000001,82.0
271,271,0.602,0.009000000000000001,0.10300000000000001,82.0
272,272,0.605,0.01,0.1,81.0
273,273,0.601,0.014,0.097,80.0
274,274,0.605,0.014,0.097,73.0
275,275,0.603,0.015000000000000001,0.097,73.0
276,276,0.602,0.018000000000000002,0.097,73.0
277,277,0.601,0.019,0.096,71.0
278,278,0.6,0.02,0.096,71.0
279,279,0.596,0.018000000000000002,0.095,71.0
280,280,0.597,0.02,0.093,71.0
281,281,0.599,0.015000000000000001,0.093,71.0
282,282,0.59,0.013000000000000001,0.095,73.0
283,283,0.597,0.012,0.097,73.0
284,284,0.603,0.012,0.098,78.0
285,285,0.606,0.007,0.096,78.0
286,286,0.605,0.008,0.098,79.0
287,287,0.604,0.01,0.093,81.0
288,288,0.611,0.01,0.097,79.0
289,289,0.61,0.01,0.095,80.0
290,290,0.612,0.009000000000000001,0.095,79.0
291,291,0.617,0.009000000000000001,0.099,83.0
292,292,0.618,0.009000000000000001,0.097,83.0
293,293,0.617,0.01,0.098,83.0
294,294,0.617,0.01,0.099,82.0
295,295,0.61,0.012,0.095,82.0
296,296,0.611,0.011000000000000001,0.095,79.0
297,297,0.616,0.01,0.099,79.0
298,298,0.615,0.01,0.094,81.0
299,299,0.62,0.011000000000000001,0.09000000000000001,82.0
300,300,0.626,0.012,0.094,81.0
301,301,0.631,0.013000000000000001,0.092,80.0
302,302,0.631,0.013000000000000001,0.08900000000000001,79.0
303,303,0.637,0.012,0.09100000000000001,78.0
304,304,0.637,0.012,0.08600000000000001,79.0
305,305,0.629,0.014,0.079,80.0
306,306,0.632,0.014,0.07300000000000001,78.0
307,307,0.629,0.014,0.078,78.0
308,308,0.626,0.016,0.08,79.0
309,309,0.627,0.016,0.082,75.0
310,310,0.624,0.014,0.078,76.0
311,311,0.627,0.014,0.079,77.0
312,312,0.621,0.015000000000000001,0.077,77.0
313,313,0.616,0.015000000000000001,0.076,75.0
314,314,0.615,0.016,0.081,76.0
315,315,0.616,0.016,0.076,75.0
316,316,0.614,0.016,0.07300000000000001,74.0
317,317,0.62,0.018000000000000002,0.07,75.0
318,318,0.62,0.018000000000000002,0.068,72.0
319,319,0.617,0.018000000000000002,0.07,72.0
320,320,0.617,0.017,0.07400000000000001,73.0
321,321,0.618,0.018000000000000002,0.065,73.0
322,322,0.615,0.02,0.060000000000000005,72.0
323,323,0.617,0.019,0.059000000000000004,71.0
324,324,0.627,0.019,0.052000000000000005,72.0
325,325,0.627,0.019,0.057,72.0
326,326,0.634,0.019,0.054000000000000006,72.0
327,327,0.625,0.02,0.055,73.0
328,328,0.629,0.019,0.045000000000000005,71.0
329,329,0.634,0.02,0.041,72.0
330,330,0.636,0.021,0.041,71.0
331,331,0.628,0.021,0.048,71.0
332,332,0.633,0.021,0.043000000000000003,70.0
333,333,0.638,0.02,0.047,70.0
334,334,0.643,0.021,0.048,71.0
335,335,0.632,0.021,0.051000000000000004,70.0
336,336,0.636,0.022000000000000002,0.054000000000000006,69.0
337,337,0.636,0.022000000000000002,0.05,68.0
338,338,0.636,0.02,0.055,69.0
339,339,0.638,0.021,0.055,71.0
340,340,0.6499999999999999,0.022000000000000002,0.053000000000000005,70.0
341,341,0.646,0.021,0.048,68.0
342,342,0.631,0.021,0.054000000000000006,69.0
343,343,0.615,0.021,0.052000000000000005,69.0
344,344,0.618,0.023,0.054000000000000006,68.0
345,345,0.627,0.023,0.051000000000000004,66.0
346,346,0.63,0.023,0.055,66.0
347,347,0.626,0.024,0.059000000000000004,67.0
348,348,0.621,0.024,0.061000000000000006,65.0
349,349,0.61,0.022000000000000002,0.061000000000000006,65.0
350,350,0.607,0.023,0.061000000000000006,66.0
351,351,0.601,0.024,0.058,66.0
352,352,0.605,0.026000000000000002,0.05,66.0
353,353,0.604,0.027000000000000003,0.049,62.0
354,354,0.595,0.023,0.043000000000000003,62.0
355,355,0.589,0.022000000000000002,0.044000000000000004,65.0
356,356,0.593,0.022000000000000002,0.035,68.0
357,357,0.591,0.023,0.034,68.0
358,358,0.589,0.023,0.035,67.0
359,359,0.586,0.023,0.035,67.0
360,360,0.582,0.024,0.034,67.0
361,361,0.587,0.023,0.033,66.0
