,ge,tc,tf,ln,dn
184,184,0.109,0.039,99.0,99.0
185,185,0.10799999999999998,0.04299999999999999,99.0,99.0
186,186,0.10899999999999999,0.044,99.0,99.0
187,187,0.11199999999999999,0.04799999999999999,99.0,99.0
188,188,0.118,0.04499999999999999,99.0,99.0
189,189,0.10999999999999999,0.041999999999999996,99.0,99.0
190,190,0.09599999999999997,0.041999999999999996,99.0,99.0
191,191,0.08999999999999998,0.04,99.0,99.0
192,192,0.09699999999999998,0.048999999999999995,99.0,99.0
193,193,0.08599999999999998,0.05,99.0,99.0
194,194,0.08799999999999997,0.051,99.0,99.0
195,195,0.09599999999999997,0.05,99.0,99.0
196,196,0.10599999999999998,0.06000000000000001,99.0,99.0
197,197,0.10699999999999997,0.06199999999999999,99.0,99.0
198,198,0.092,0.071,99.0,99.0
199,199,0.096,0.079,99.0,99.0
200,200,0.10099999999999999,0.072,99.0,99.0
201,201,0.1,0.07400000000000001,99.0,99.0
202,202,0.09899999999999999,0.075,99.0,99.0
203,203,0.096,0.06699999999999999,99.0,99.0
204,204,0.103,0.071,99.0,99.0
205,205,0.09199999999999997,0.06999999999999999,99.0,99.0
206,206,0.09699999999999998,0.06799999999999999,99.0,99.0
207,207,0.091,0.066,99.0,99.0
208,208,0.08900000000000001,0.07400000000000001,99.0,99.0
209,209,0.10099999999999999,0.064,99.0,99.0
210,210,0.10399999999999998,0.065,99.0,99.0
211,211,0.10099999999999999,0.05299999999999999,99.0,99.0
212,212,0.10799999999999998,0.054000000000000006,99.0,99.0
213,213,0.111,0.056999999999999995,99.0,99.0
214,214,0.102,0.059,99.0,99.0
215,215,0.10099999999999998,0.061,99.0,99.0
216,216,0.111,0.054000000000000006,99.0,99.0
217,217,0.10499999999999998,0.05499999999999999,99.0,99.0
218,218,0.10199999999999998,0.05199999999999999,99.0,99.0
219,219,0.099,0.05399999999999999,99.0,99.0
220,220,0.10099999999999998,0.05399999999999999,99.0,99.0
221,221,0.11699999999999999,0.043,99.0,99.0
222,222,0.10399999999999998,0.045,99.0,99.0
223,223,0.10599999999999998,0.047,99.0,99.0
224,224,0.10699999999999996,0.06,99.0,99.0
225,225,0.09799999999999998,0.05599999999999999,99.0,99.0
226,226,0.10499999999999998,0.048999999999999995,99.0,99.0
227,227,0.103,0.06899999999999999,99.0,99.0
228,228,0.10499999999999998,0.062,99.0,99.0
229,229,0.105,0.062,99.0,99.0
230,230,0.10299999999999997,0.06199999999999999,99.0,99.0
231,231,0.10899999999999997,0.061,99.0,99.0
232,232,0.10299999999999997,0.061,99.0,99.0
233,233,0.09699999999999999,0.06699999999999999,99.0,99.0
234,234,0.102,0.066,99.0,99.0
235,235,0.10099999999999998,0.06699999999999999,99.0,99.0
236,236,0.10599999999999998,0.06699999999999999,99.0,99.0
237,237,0.10800000000000001,0.06999999999999998,99.0,99.0
238,238,0.113,0.06399999999999999,99.0,99.0
239,239,0.114,0.06899999999999999,99.0,99.0
240,240,0.11599999999999999,0.074,99.0,99.0
241,241,0.11699999999999999,0.081,99.0,99.0
242,242,0.118,0.06799999999999999,99.0,99.0
243,243,0.11599999999999999,0.073,99.0,99.0
244,244,0.118,0.084,99.0,99.0
245,245,0.11299999999999998,0.09,99.0,99.0
246,246,0.113,0.08199999999999999,99.0,99.0
247,247,0.11299999999999999,0.09899999999999999,99.0,99.0
248,248,0.11,0.106,99.0,99.0
249,249,0.10899999999999999,0.10799999999999997,99.0,99.0
250,250,0.10599999999999998,0.09899999999999999,99.0,99.0
251,251,0.10399999999999998,0.092,99.0,99.0
252,252,0.09999999999999996,0.099,99.0,99.0
253,253,0.10599999999999998,0.09499999999999999,99.0,99.0
254,254,0.10400000000000001,0.10099999999999999,99.0,99.0
255,255,0.099,0.103,99.0,99.0
256,256,0.10199999999999998,0.10499999999999998,99.0,99.0
257,257,0.08899999999999998,0.111,99.0,99.0
258,258,0.08599999999999998,0.115,99.0,99.0
259,259,0.08199999999999999,0.12300000000000001,99.0,99.0
260,260,0.08600000000000002,0.12199999999999997,99.0,99.0
