,ge,tc,tl,tf,ln,dn
382,382,0.14299999999999996,0.055,0.106,99.0,0.0
383,383,0.13999999999999999,0.053999999999999986,0.10799999999999998,99.0,0.0
384,384,0.15,0.05599999999999999,0.10799999999999998,99.0,0.0
385,385,0.14899999999999997,0.059,0.105,99.0,0.0
386,386,0.14899999999999997,0.06399999999999999,0.11199999999999999,99.0,0.0
387,387,0.157,0.064,0.11299999999999999,99.0,0.0
388,388,0.148,0.074,0.11299999999999999,99.0,0.0
389,389,0.15499999999999997,0.06899999999999999,0.11699999999999999,99.0,0.0
390,390,0.13899999999999998,0.06899999999999999,0.115,99.0,0.0
391,391,0.14299999999999996,0.065,0.10999999999999999,99.0,0.0
392,392,0.147,0.06499999999999999,0.10699999999999997,99.0,0.0
393,393,0.132,0.06999999999999998,0.10299999999999997,99.0,0.0
394,394,0.142,0.07899999999999999,0.102,99.0,0.0
395,395,0.142,0.074,0.10099999999999998,99.0,0.0
396,396,0.14199999999999996,0.06799999999999999,0.10099999999999998,99.0,0.0
397,397,0.14799999999999996,0.07099999999999998,0.09999999999999998,99.0,0.0
398,398,0.15799999999999997,0.06799999999999998,0.09799999999999998,99.0,0.0
399,399,0.15299999999999997,0.06699999999999999,0.09899999999999999,99.0,0.0
400,400,0.14799999999999996,0.06999999999999998,0.09799999999999998,99.0,0.0
401,401,0.15599999999999997,0.06999999999999998,0.09899999999999999,99.0,0.0
402,402,0.146,0.06699999999999999,0.09999999999999998,99.0,0.0
403,403,0.13999999999999999,0.06899999999999999,0.09799999999999998,99.0,0.0
404,404,0.122,0.06799999999999999,0.09799999999999998,99.0,0.0
405,405,0.107,0.07099999999999998,0.09399999999999999,99.0,0.0
406,406,0.09699999999999999,0.07699999999999997,0.09699999999999998,99.0,0.0
407,407,0.09299999999999997,0.073,0.09799999999999998,99.0,0.0
408,408,0.09799999999999999,0.06599999999999998,0.09799999999999998,99.0,0.0
409,409,0.103,0.06899999999999999,0.09799999999999998,99.0,0.0
410,410,0.10799999999999998,0.073,0.09599999999999996,99.0,0.0
411,411,0.11699999999999999,0.074,0.09599999999999997,99.0,0.0
412,412,0.111,0.073,0.09399999999999999,99.0,0.0
413,413,0.109,0.071,0.09399999999999999,99.0,0.0
414,414,0.113,0.07499999999999998,0.08899999999999998,99.0,0.0
415,415,0.11299999999999999,0.07099999999999998,0.08699999999999998,99.0,0.0
416,416,0.11999999999999998,0.07199999999999998,0.08699999999999998,99.0,0.0
417,417,0.10799999999999998,0.08199999999999998,0.08699999999999998,99.0,0.0
418,418,0.107,0.08099999999999997,0.086,99.0,0.0
419,419,0.11699999999999998,0.081,0.09099999999999998,99.0,0.0
420,420,0.10899999999999999,0.07999999999999999,0.09299999999999997,99.0,0.0
421,421,0.121,0.07699999999999999,0.09799999999999998,99.0,0.0
