,ge,tc,tf,ln
300,300,0.29600000000000004,0.19000000000000003,1.32
301,301,0.297,0.18900000000000003,1.32
302,302,0.3,0.18900000000000003,1.56
303,303,0.3,0.18900000000000003,1.56
304,304,0.301,0.19000000000000003,1.56
305,305,0.299,0.19000000000000003,1.56
306,306,0.302,0.19000000000000003,1.56
307,307,0.302,0.18900000000000003,1.56
308,308,0.303,0.19000000000000003,1.56
309,309,0.305,0.18900000000000003,1.56
310,310,0.29900000000000004,0.18900000000000003,1.56
311,311,0.302,0.18700000000000003,1.56
312,312,0.295,0.18600000000000005,1.82
313,313,0.29300000000000004,0.183,2.1
314,314,0.29600000000000004,0.183,2.1
315,315,0.301,0.18400000000000002,2.1
316,316,0.29100000000000004,0.18400000000000002,2.1
317,317,0.29700000000000004,0.18400000000000002,2.1
318,318,0.309,0.18400000000000002,2.1
319,319,0.309,0.18400000000000002,2.4
320,320,0.32000000000000006,0.18300000000000005,2.4
321,321,0.32000000000000006,0.18100000000000002,2.4
322,322,0.32800000000000007,0.18100000000000002,2.72
323,323,0.32400000000000007,0.18100000000000002,2.72
324,324,0.312,0.18100000000000002,2.72
325,325,0.30400000000000005,0.18100000000000002,2.72
326,326,0.30000000000000004,0.18100000000000002,2.72
327,327,0.30800000000000005,0.18100000000000002,2.72
328,328,0.29200000000000004,0.18100000000000002,2.72
329,329,0.2950000000000001,0.18000000000000005,2.72
330,330,0.301,0.18100000000000005,3.06
331,331,0.29300000000000004,0.18100000000000005,3.06
332,332,0.28700000000000003,0.18100000000000005,3.06
333,333,0.28400000000000003,0.18400000000000005,3.06
334,334,0.28800000000000003,0.18400000000000005,2.72
335,335,0.28800000000000003,0.18400000000000005,2.72
336,336,0.28900000000000003,0.18500000000000008,2.72
337,337,0.28900000000000003,0.18500000000000008,2.72
338,338,0.28900000000000003,0.18500000000000008,2.72
339,339,0.28600000000000003,0.18600000000000005,2.72
340,340,0.2820000000000001,0.18600000000000005,2.72
341,341,0.2820000000000001,0.18600000000000005,2.72
342,342,0.281,0.18700000000000003,2.72
343,343,0.2820000000000001,0.18800000000000006,2.72
344,344,0.276,0.18600000000000005,2.72
345,345,0.276,0.18800000000000006,3.06
346,346,0.275,0.18900000000000003,3.06
347,347,0.276,0.18800000000000006,2.72
348,348,0.276,0.18800000000000006,3.06
349,349,0.2750000000000001,0.19000000000000003,3.06
350,350,0.276,0.18900000000000003,2.72
351,351,0.2770000000000001,0.18600000000000003,2.72
352,352,0.2770000000000001,0.18600000000000003,3.06
353,353,0.276,0.187,3.06
354,354,0.28200000000000003,0.187,3.06
355,355,0.29100000000000004,0.187,3.06
356,356,0.30000000000000004,0.187,3.06
357,357,0.30000000000000004,0.18900000000000003,3.06
358,358,0.29900000000000004,0.191,3.06
359,359,0.309,0.19200000000000003,3.06
360,360,0.30400000000000005,0.191,3.06
361,361,0.30800000000000005,0.192,3.42
362,362,0.29200000000000004,0.193,3.42
363,363,0.2950000000000001,0.193,3.42
364,364,0.3,0.192,3.42
365,365,0.30700000000000005,0.193,3.8
366,366,0.30500000000000005,0.191,3.06
367,367,0.2930000000000001,0.19300000000000003,3.08
368,368,0.2870000000000001,0.19300000000000003,2.72
369,369,0.2870000000000001,0.19300000000000003,2.72
370,370,0.2870000000000001,0.19300000000000003,2.72
371,371,0.2840000000000001,0.19300000000000003,2.72
372,372,0.2850000000000001,0.19500000000000003,2.72
373,373,0.2830000000000001,0.196,2.4
374,374,0.2840000000000001,0.19700000000000004,2.4
375,375,0.2830000000000001,0.19800000000000004,2.1
376,376,0.2790000000000001,0.19800000000000004,2.1
377,377,0.28,0.199,2.1
378,378,0.28,0.199,1.82
379,379,0.278,0.199,1.82
380,380,0.2770000000000001,0.2,1.82
381,381,0.2770000000000001,0.2,1.82
382,382,0.2770000000000001,0.2,1.82
383,383,0.2770000000000001,0.199,2.1
384,384,0.2770000000000001,0.19800000000000004,2.4
385,385,0.2800000000000001,0.19900000000000007,2.4
386,386,0.2830000000000001,0.19900000000000007,2.4
387,387,0.2800000000000001,0.2,2.4
388,388,0.281,0.20300000000000004,2.4
389,389,0.281,0.20300000000000004,2.4
390,390,0.2830000000000001,0.20300000000000004,2.72
391,391,0.2870000000000001,0.20200000000000004,2.72
392,392,0.2800000000000001,0.20200000000000004,3.06
393,393,0.2800000000000001,0.203,3.06
394,394,0.2820000000000001,0.20500000000000004,3.06
395,395,0.281,0.205,3.06
396,396,0.2780000000000001,0.20600000000000002,3.42
397,397,0.2770000000000001,0.20500000000000004,3.42
398,398,0.276,0.20500000000000004,3.42
399,399,0.276,0.20600000000000004,3.42
400,400,0.275,0.20600000000000004,3.42
401,401,0.276,0.20300000000000004,3.42
402,402,0.276,0.20300000000000004,3.8
403,403,0.275,0.20200000000000007,3.8
404,404,0.275,0.20200000000000007,3.8
405,405,0.276,0.20100000000000004,3.8
406,406,0.277,0.20200000000000007,3.8
407,407,0.277,0.20200000000000007,3.8
408,408,0.277,0.20200000000000007,3.8
409,409,0.276,0.20300000000000004,3.8
410,410,0.276,0.20300000000000004,3.42
411,411,0.276,0.20300000000000004,3.42
412,412,0.276,0.20300000000000004,3.42
413,413,0.276,0.20300000000000004,3.42
414,414,0.276,0.20300000000000004,3.42
415,415,0.276,0.20300000000000004,3.42
416,416,0.274,0.20200000000000007,3.42
417,417,0.2710000000000001,0.20200000000000004,3.42
