,ge,tc,tl,ln,dn
228,228,0.06399999999999999,0.007000000000000001,99.0,0.0
229,229,0.060999999999999985,0.005,99.0,0.0
230,230,0.06299999999999999,0.005,99.0,0.0
231,231,0.05499999999999998,0.006,99.0,0.0
232,232,0.05799999999999999,0.004,99.0,0.0
233,233,0.055,0.004,99.0,0.0
234,234,0.05299999999999999,0.006,99.0,0.0
235,235,0.04799999999999999,0.008,99.0,0.0
236,236,0.04299999999999999,0.012000000000000002,99.0,0.0
237,237,0.04799999999999999,0.008,99.0,0.0
238,238,0.045,0.007000000000000001,99.0,0.0
239,239,0.04999999999999999,0.005,99.0,0.0
240,240,0.05399999999999999,0.001,99.0,0.0
241,241,0.04899999999999999,0.001,99.0,0.0
242,242,0.04899999999999999,0.001,99.0,0.0
243,243,0.053999999999999986,0.002,99.0,0.0
244,244,0.06299999999999999,0.001,99.0,0.0
245,245,0.06899999999999999,0.0030000000000000005,99.0,0.0
246,246,0.06699999999999999,0.0030000000000000005,99.0,0.0
247,247,0.06599999999999998,0.004,99.0,0.0
248,248,0.06599999999999998,0.0030000000000000005,99.0,0.0
249,249,0.060999999999999985,0.004,99.0,0.0
250,250,0.059999999999999984,0.007000000000000001,99.0,0.0
251,251,0.059999999999999984,0.01,99.0,0.0
252,252,0.05899999999999998,0.01,99.0,0.0
253,253,0.05199999999999999,0.01,99.0,0.0
254,254,0.04799999999999999,0.01,99.0,0.0
255,255,0.05199999999999999,0.015,99.0,0.0
256,256,0.04699999999999999,0.01,99.0,0.0
257,257,0.04799999999999999,0.014000000000000002,99.0,0.0
258,258,0.045,0.013000000000000001,99.0,0.0
259,259,0.044,0.009000000000000001,99.0,0.0
260,260,0.041999999999999996,0.007000000000000001,99.0,0.0
261,261,0.046,0.005,99.0,0.0
262,262,0.046,0.006000000000000001,99.0,0.0
263,263,0.053,0.005,99.0,0.0
264,264,0.048999999999999995,0.005,99.0,0.0
265,265,0.046,0.006000000000000001,99.0,0.0
266,266,0.04699999999999999,0.006000000000000001,99.0,0.0
